match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0.0,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.86,26.441,0,,BW,NCTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,35.0,1,1,2,0,0,0,0,0,15,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.33,2.785,0,,B,CTL,
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,60.0,1,1,3,0,0,0,0,15,15,2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20.223,20.422,0,,BW,NCTL,ND
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,97.0,1,1,4,0,0,0,0,15,30,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18.856,27.555,0,,BW,NCTL,ND
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,125.0,1,1,5,0,0,0,0,30,30,2,1,1,3,2,0,0,0,0,1,0,F,0,0,0,0,1,0,1,0,0,0,0,0,0,0,29.052,27.375,0,,C,NCTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,154.0,1,1,6,0,0,0,0,40,30,2,1,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,36.511,40.949,0,,BW,NCTL,ND
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,203.0,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.181,4.689,0,,C,CTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,225.0,1,1,8,0,0,0,0,40,AD,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.668,9.575,0,,C,CTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,248.0,1,1,9,0,0,0,0,40,40,2,1,2,4,5,0,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.697,34.644,0,,BC,NCTL,ND
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,296.0,1,1,10,0,0,0,0,40,AD,2,2,1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.672,5.229,0,,B,NCTL,ND
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,327.0,1,1,11,0,0,0,0,40,40,2,2,2,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.094,24.859,0,,W,NCTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,374.0,1,1,12,0,0,0,0,40,AD,2,1,2,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.268,1.391,0,,BC,NCTL,
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,453.0,1,2,13,0,0,0,1,0,0,1,2,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.432,8.273,0,,B,NCTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,486.0,1,2,14,0,0,0,1,0,15,1,1,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.406,28.903,0,,W,CTL,
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,528.0,1,2,15,0,0,0,1,0,30,1,2,1,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.317,11.286,0,,BW,NCTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,566.0,1,2,16,0,0,0,1,15,30,1,2,1,7,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.319,9.331,0,,B,NCTL,ND
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,602.0,1,2,17,0,0,0,1,30,30,1,1,1,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41.108,43.765,0,,C,NCTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,646.0,1,2,18,0,0,0,1,40,30,1,2,2,8,10,0,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.384,3.399,0,,BW,NCTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,682.0,1,2,19,0,0,0,1,40,40,1,1,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.205,4.581,0,,C,NCTL,D
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,704.0,1,2,20,0,0,0,1,AD,40,1,1,2,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.505,15.551,0,,C,NCTL,ND
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,740.0,1,2,21,0,0,0,1,40,40,1,1,2,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.146,12.662,0,,BW,NCTL,D
