match_id,player1,player2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics
2023-wimbledon-1306,Jiri Lehecka,Tommy Paul
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas
2023-wimbledon-1309,Jannik Sinner,Quentin Halys
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer
2023-wimbledon-1311,Guido Pella,Roman Safiullin
2023-wimbledon-1312,Denis Shapovalov,Liam Broady
2023-wimbledon-1313,Andrey Rublev,David Goffin
2023-wimbledon-1314,Alexander Bublik,Maximilian Marterer
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka
2023-wimbledon-1404,Christopher Eubanks,Stefanos Tsitsipas
2023-wimbledon-1405,Jannik Sinner,Daniel Elahi Galan
2023-wimbledon-1406,Roman Safiullin,Denis Shapovalov
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik
2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks
2023-wimbledon-1503,Jannik Sinner,Roman Safiullin
2023-wimbledon-1504,Andrey Rublev,Novak Djokovic
2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic
